id,Geographic Area Name,Estimate!!Total!!Population 18 to 24 years,Estimate!!Total!!Population 18 to 24 years!!Less than high school graduate,Estimate!!Total!!Population 18 to 24 years!!High school graduate (includes equivalency),Estimate!!Total!!Population 18 to 24 years!!Some college or associate's degree,Estimate!!Total!!Population 18 to 24 years!!Bachelor's degree or higher,Estimate!!Total!!Population 25 years and over,Estimate!!Total!!Population 25 years and over!!Less than 9th grade,Estimate!!Total!!Population 25 years and over!!9th to 12th grade!!no diploma,Estimate!!Total!!Population 25 years and over!!High school graduate (includes equivalency),Estimate!!Total!!Population 25 years and over!!Some college!!no degree,Estimate!!Total!!Population 25 years and over!!Associate's degree,Estimate!!Total!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!Population 25 years and over!!Graduate or professional degree,Estimate!!Total!!Population 25 years and over!!High school graduate or higher,Estimate!!Total!!Population 25 years and over!!Bachelor's degree or higher
0500000US48229,Hudspeth County  Texas,378,121,109,148,0,2740,730,533,842,321,126,172,16,1477,188
0500000US48231,Hunt County  Texas,9082,1099,3335,3940,708,60942,3030,6108,21259,14624,4129,7596,4196,51804,11792
0500000US48233,Hutchinson County  Texas,1833,306,709,750,68,14141,507,1545,4728,4165,1249,1378,569,12089,1947
0500000US48235,Irion County  Texas,161,34,51,76,0,1007,32,41,362,327,75,120,50,934,170
0500000US48237,Jack County  Texas,903,340,452,111,0,6073,471,737,2406,1287,406,507,259,4865,766
0500000US48239,Jackson County  Texas,1184,177,471,379,157,9840,686,965,3243,2705,654,1176,411,8189,1587
0500000US48241,Jasper County  Texas,2965,496,1570,881,18,23947,1159,2527,10681,5115,1500,1789,1176,20261,2965
0500000US48243,Jeff Davis County  Texas,104,8,84,0,12,1706,64,190,387,388,79,273,325,1452,598
0500000US48245,Jefferson County  Texas,24930,3322,9054,10802,1752,169331,12401,14657,55151,41050,12912,22559,10601,142273,33160
0500000US48247,Jim Hogg County  Texas,475,153,153,169,0,3148,396,416,1183,621,145,272,115,2336,387
0500000US48249,Jim Wells County  Texas,3848,1257,1122,1361,108,25753,2655,3888,9449,4844,1651,2550,716,19210,3266
0500000US48251,Johnson County  Texas,14106,2373,5872,5235,626,106651,6319,9904,36008,27131,7744,13928,5617,90428,19545
0500000US48253,Jones County  Texas,1679,732,545,355,47,14715,818,2363,5923,3364,558,1328,361,11534,1689
0500000US48255,Karnes County  Texas,1649,544,549,519,37,10480,1188,1310,3840,2017,614,1164,347,7982,1511
0500000US48257,Kaufman County  Texas,9664,1531,3862,3513,758,76279,3949,6601,25276,18463,6191,10351,5448,65729,15799
0500000US48259,Kendall County  Texas,3379,683,1406,1101,189,28749,1074,911,6088,6632,2276,8021,3747,26764,11768
0500000US48261,Kenedy County  Texas,15,0,10,5,0,413,137,137,87,17,7,13,15,139,28
0500000US48263,Kent County  Texas,26,0,16,10,0,556,29,75,182,117,22,69,62,452,131
0500000US48265,Kerr County  Texas,4215,673,1705,1601,236,37151,1731,2548,10207,10463,2706,6161,3335,32872,9496
0500000US48267,Kimble County  Texas,279,75,104,86,14,3240,236,273,1008,858,150,403,312,2731,715
0500000US48269,King County  Texas,8,6,0,0,2,159,8,15,60,39,8,17,12,136,29
0500000US48271,Kinney County  Texas,273,31,83,151,8,2747,369,362,979,655,117,224,41,2016,265
0500000US48273,Kleberg County  Texas,6442,798,1102,3607,935,17263,1560,2038,4350,3961,1067,2997,1290,13665,4287
0500000US48275,Knox County  Texas,335,57,202,76,0,2377,234,230,771,536,139,326,141,1913,467
0500000US48277,Lamar County  Texas,4065,815,1409,1657,184,33676,1682,3519,11329,8550,2680,4199,1717,28475,5916
0500000US48279,Lamb County  Texas,1189,255,296,632,6,8351,1170,997,2720,1666,467,950,381,6184,1331
0500000US48281,Lampasas County  Texas,1492,404,660,393,35,14416,532,830,4052,4043,2078,1933,948,13054,2881
0500000US48283,La Salle County  Texas,729,113,236,334,46,5059,710,896,2150,522,117,464,200,3453,664
0500000US48285,Lavaca County  Texas,1489,222,479,764,24,13732,911,1111,5654,2710,1052,1756,538,11710,2294
0500000US48287,Lee County  Texas,1591,426,517,562,86,11572,843,1022,4253,2840,778,1281,555,9707,1836
0500000US48289,Leon County  Texas,1170,235,395,507,33,12025,733,1384,4664,2371,906,1430,537,9908,1967
0500000US48291,Liberty County  Texas,7428,1439,3063,2619,307,53387,5140,6931,20993,12564,2703,3588,1468,41316,5056
0500000US48293,Limestone County  Texas,2036,508,807,664,57,16099,1315,1725,5611,4154,1034,1609,651,13059,2260
0500000US48295,Lipscomb County  Texas,265,77,68,113,7,2275,177,229,757,467,202,330,113,1869,443
0500000US48297,Live Oak County  Texas,904,345,360,188,11,8787,795,1033,3028,2247,528,744,412,6959,1156
